modGenes	module	colourRGB
ENSBTAG00000011482	brown	#A52A2A
ENSBTAG00000011484	pink	#FFC0CB
ENSBTAG00000011488	pink	#FFC0CB
ENSBTAG00000011495	blue	#0000FF
ENSBTAG00000011498	turquoise	#40E0D0
ENSBTAG00000011505	tan	#D2B48C
ENSBTAG00000011507	purple	#A020F0
ENSBTAG00000011510	lightgreen	#90EE90
ENSBTAG00000011511	salmon	#FA8072
ENSBTAG00000011514	turquoise	#40E0D0
ENSBTAG00000011515	pink	#FFC0CB
ENSBTAG00000011516	yellow	#FFFF00
ENSBTAG00000011524	darkturquoise	#00CED1
ENSBTAG00000011529	darkgrey	#A9A9A9
ENSBTAG00000011530	orange	#FFA500
ENSBTAG00000011531	darkred	#8B0000
ENSBTAG00000011532	turquoise	#40E0D0
ENSBTAG00000011540	brown	#A52A2A
ENSBTAG00000011541	tan	#D2B48C
ENSBTAG00000011544	white	#FFFFFF
ENSBTAG00000011545	blue	#0000FF
ENSBTAG00000011549	turquoise	#40E0D0
ENSBTAG00000011551	blue	#0000FF
ENSBTAG00000011553	blue	#0000FF
ENSBTAG00000011554	turquoise	#40E0D0
ENSBTAG00000011563	blue	#0000FF
ENSBTAG00000011571	midnightblue	#191970
ENSBTAG00000011573	red	#FF0000
ENSBTAG00000011578	grey60	#999999
ENSBTAG00000011580	brown	#A52A2A
ENSBTAG00000011584	turquoise	#40E0D0
ENSBTAG00000011586	turquoise	#40E0D0
ENSBTAG00000011588	turquoise	#40E0D0
ENSBTAG00000011589	black	#000000
ENSBTAG00000011590	brown	#A52A2A
ENSBTAG00000011591	salmon	#FA8072
ENSBTAG00000011593	magenta	#FF00FF
ENSBTAG00000011595	greenyellow	#ADFF2F
ENSBTAG00000011596	purple	#A020F0
ENSBTAG00000011597	black	#000000
ENSBTAG00000011600	brown	#A52A2A
ENSBTAG00000011601	brown	#A52A2A
ENSBTAG00000011608	pink	#FFC0CB
ENSBTAG00000011614	tan	#D2B48C
ENSBTAG00000011617	orange	#FFA500
ENSBTAG00000011619	red	#FF0000
ENSBTAG00000011620	yellow	#FFFF00
ENSBTAG00000011621	cyan	#00FFFF
ENSBTAG00000011623	pink	#FFC0CB
ENSBTAG00000011626	green	#00FF00
ENSBTAG00000011632	purple	#A020F0
ENSBTAG00000011639	blue	#0000FF
ENSBTAG00000011642	tan	#D2B48C
ENSBTAG00000011643	tan	#D2B48C
ENSBTAG00000011645	pink	#FFC0CB
ENSBTAG00000011647	blue	#0000FF
ENSBTAG00000011649	yellow	#FFFF00
ENSBTAG00000011656	brown	#A52A2A
ENSBTAG00000011661	turquoise	#40E0D0
ENSBTAG00000011664	lightcyan	#E0FFFF
ENSBTAG00000011667	turquoise	#40E0D0
ENSBTAG00000011683	salmon	#FA8072
ENSBTAG00000011689	turquoise	#40E0D0
ENSBTAG00000011694	yellow	#FFFF00
ENSBTAG00000011698	brown	#A52A2A
ENSBTAG00000011707	lightyellow	#FFFFE0
ENSBTAG00000011709	purple	#A020F0
ENSBTAG00000011717	brown	#A52A2A
ENSBTAG00000011719	red	#FF0000
