modGenes	module	colourRGB
ENSBTAG00000000005	turquoise	#40E0D0
ENSBTAG00000000010	brown	#A52A2A
ENSBTAG00000000012	magenta	#FF00FF
ENSBTAG00000000013	greenyellow	#ADFF2F
ENSBTAG00000000014	turquoise	#40E0D0
ENSBTAG00000000019	purple	#A020F0
ENSBTAG00000000020	red	#FF0000
ENSBTAG00000000021	turquoise	#40E0D0
ENSBTAG00000000022	tan	#D2B48C
ENSBTAG00000000023	darkred	#8B0000
ENSBTAG00000000024	blue	#0000FF
ENSBTAG00000000025	purple	#A020F0
ENSBTAG00000000026	yellow	#FFFF00
ENSBTAG00000000037	blue	#0000FF
ENSBTAG00000000039	turquoise	#40E0D0
ENSBTAG00000000049	turquoise	#40E0D0
ENSBTAG00000000054	turquoise	#40E0D0
ENSBTAG00000000056	darkturquoise	#00CED1
ENSBTAG00000000060	red	#FF0000
ENSBTAG00000000065	black	#000000
ENSBTAG00000000072	green	#00FF00
ENSBTAG00000000077	brown	#A52A2A
ENSBTAG00000000079	yellow	#FFFF00
ENSBTAG00000000081	skyblue	#87CEEB
ENSBTAG00000000087	turquoise	#40E0D0
ENSBTAG00000000088	turquoise	#40E0D0
ENSBTAG00000000090	blue	#0000FF
ENSBTAG00000000094	black	#000000
ENSBTAG00000000095	turquoise	#40E0D0
ENSBTAG00000000097	pink	#FFC0CB
ENSBTAG00000000098	greenyellow	#ADFF2F
ENSBTAG00000000099	brown	#A52A2A
ENSBTAG00000000105	pink	#FFC0CB
ENSBTAG00000000108	purple	#A020F0
ENSBTAG00000000111	magenta	#FF00FF
ENSBTAG00000000113	brown	#A52A2A
ENSBTAG00000000115	darkgrey	#A9A9A9
ENSBTAG00000000125	blue	#0000FF
ENSBTAG00000000131	brown	#A52A2A
ENSBTAG00000000137	tan	#D2B48C
ENSBTAG00000000139	turquoise	#40E0D0
ENSBTAG00000000140	turquoise	#40E0D0
ENSBTAG00000000147	black	#000000
ENSBTAG00000000149	darkred	#8B0000
ENSBTAG00000000152	purple	#A020F0
ENSBTAG00000000157	turquoise	#40E0D0
ENSBTAG00000000160	blue	#0000FF
ENSBTAG00000000175	tan	#D2B48C
ENSBTAG00000000176	royalblue	#4169E1
ENSBTAG00000000181	brown	#A52A2A
ENSBTAG00000000184	black	#000000
ENSBTAG00000000191	turquoise	#40E0D0
ENSBTAG00000000199	turquoise	#40E0D0
ENSBTAG00000000201	blue	#0000FF
ENSBTAG00000000202	turquoise	#40E0D0
ENSBTAG00000000203	pink	#FFC0CB
ENSBTAG00000000204	turquoise	#40E0D0
ENSBTAG00000000205	brown	#A52A2A
ENSBTAG00000000207	yellow	#FFFF00
ENSBTAG00000000210	yellow	#FFFF00
ENSBTAG00000000212	brown	#A52A2A
ENSBTAG00000000213	greenyellow	#ADFF2F
ENSBTAG00000000215	darkorange	#FF8C00
ENSBTAG00000000218	blue	#0000FF
ENSBTAG00000000221	turquoise	#40E0D0
ENSBTAG00000000222	royalblue	#4169E1
ENSBTAG00000000223	greenyellow	#ADFF2F
ENSBTAG00000000225	turquoise	#40E0D0
ENSBTAG00000000228	cyan	#00FFFF
ENSBTAG00000000236	royalblue	#4169E1
ENSBTAG00000000240	blue	#0000FF
ENSBTAG00000000241	darkgreen	#006400
ENSBTAG00000000256	turquoise	#40E0D0
ENSBTAG00000000260	tan	#D2B48C
ENSBTAG00000000261	turquoise	#40E0D0
ENSBTAG00000000265	red	#FF0000
ENSBTAG00000000266	pink	#FFC0CB
ENSBTAG00000000267	magenta	#FF00FF
ENSBTAG00000000269	black	#000000
ENSBTAG00000000274	brown	#A52A2A
ENSBTAG00000000275	magenta	#FF00FF
ENSBTAG00000000277	turquoise	#40E0D0
ENSBTAG00000000285	green	#00FF00
ENSBTAG00000000287	magenta	#FF00FF
ENSBTAG00000000288	tan	#D2B48C
ENSBTAG00000000289	salmon	#FA8072
ENSBTAG00000000290	purple	#A020F0
ENSBTAG00000000291	turquoise	#40E0D0
ENSBTAG00000000292	turquoise	#40E0D0
ENSBTAG00000000295	turquoise	#40E0D0
ENSBTAG00000000296	turquoise	#40E0D0
ENSBTAG00000000297	turquoise	#40E0D0
ENSBTAG00000000305	turquoise	#40E0D0
ENSBTAG00000000306	black	#000000
ENSBTAG00000000308	greenyellow	#ADFF2F
ENSBTAG00000000309	red	#FF0000
ENSBTAG00000000313	turquoise	#40E0D0
ENSBTAG00000000315	black	#000000
ENSBTAG00000000320	grey60	#999999
ENSBTAG00000000321	turquoise	#40E0D0
ENSBTAG00000000322	green	#00FF00
ENSBTAG00000000330	blue	#0000FF
ENSBTAG00000000336	turquoise	#40E0D0
ENSBTAG00000000340	royalblue	#4169E1
ENSBTAG00000000343	turquoise	#40E0D0
ENSBTAG00000000347	brown	#A52A2A
ENSBTAG00000000357	green	#00FF00
ENSBTAG00000000359	purple	#A020F0
ENSBTAG00000000362	tan	#D2B48C
ENSBTAG00000000363	darkgrey	#A9A9A9
ENSBTAG00000000371	purple	#A020F0
ENSBTAG00000000372	green	#00FF00
ENSBTAG00000000382	green	#00FF00
ENSBTAG00000000385	brown	#A52A2A
ENSBTAG00000000387	turquoise	#40E0D0
ENSBTAG00000000389	black	#000000
ENSBTAG00000000392	salmon	#FA8072
ENSBTAG00000000393	blue	#0000FF
ENSBTAG00000000397	lightyellow	#FFFFE0
ENSBTAG00000000409	yellow	#FFFF00
ENSBTAG00000000411	blue	#0000FF
ENSBTAG00000000415	greenyellow	#ADFF2F
ENSBTAG00000000418	red	#FF0000
ENSBTAG00000000421	blue	#0000FF
ENSBTAG00000000422	turquoise	#40E0D0
ENSBTAG00000000423	brown	#A52A2A
ENSBTAG00000000429	turquoise	#40E0D0
ENSBTAG00000000432	magenta	#FF00FF
ENSBTAG00000000436	turquoise	#40E0D0
ENSBTAG00000000439	brown	#A52A2A
ENSBTAG00000000446	turquoise	#40E0D0
ENSBTAG00000000447	yellow	#FFFF00
ENSBTAG00000000448	blue	#0000FF
ENSBTAG00000000451	turquoise	#40E0D0
ENSBTAG00000000454	turquoise	#40E0D0
ENSBTAG00000000455	pink	#FFC0CB
ENSBTAG00000000458	turquoise	#40E0D0
ENSBTAG00000000460	turquoise	#40E0D0
ENSBTAG00000000469	darkgreen	#006400
ENSBTAG00000000472	turquoise	#40E0D0
ENSBTAG00000000473	blue	#0000FF
ENSBTAG00000000475	magenta	#FF00FF
ENSBTAG00000000476	red	#FF0000
ENSBTAG00000000480	yellow	#FFFF00
ENSBTAG00000000492	brown	#A52A2A
ENSBTAG00000000494	blue	#0000FF
ENSBTAG00000000495	blue	#0000FF
ENSBTAG00000000497	turquoise	#40E0D0
ENSBTAG00000000500	turquoise	#40E0D0
ENSBTAG00000000504	purple	#A020F0
ENSBTAG00000000505	yellow	#FFFF00
ENSBTAG00000000507	blue	#0000FF
ENSBTAG00000000511	blue	#0000FF
ENSBTAG00000000518	cyan	#00FFFF
ENSBTAG00000000521	blue	#0000FF
ENSBTAG00000000522	red	#FF0000
ENSBTAG00000000526	green	#00FF00
ENSBTAG00000000527	black	#000000
ENSBTAG00000000528	turquoise	#40E0D0
ENSBTAG00000000529	black	#000000
ENSBTAG00000000534	blue	#0000FF
ENSBTAG00000000536	turquoise	#40E0D0
ENSBTAG00000000539	blue	#0000FF
ENSBTAG00000000542	pink	#FFC0CB
ENSBTAG00000000545	darkred	#8B0000
ENSBTAG00000000548	black	#000000
ENSBTAG00000000551	grey60	#999999
ENSBTAG00000000555	turquoise	#40E0D0
ENSBTAG00000000558	lightgreen	#90EE90
ENSBTAG00000000559	turquoise	#40E0D0
ENSBTAG00000000562	purple	#A020F0
ENSBTAG00000000563	brown	#A52A2A
ENSBTAG00000000565	tan	#D2B48C
ENSBTAG00000000573	cyan	#00FFFF
ENSBTAG00000000578	brown	#A52A2A
ENSBTAG00000000579	greenyellow	#ADFF2F
ENSBTAG00000000581	darkturquoise	#00CED1
ENSBTAG00000000590	blue	#0000FF
ENSBTAG00000000599	pink	#FFC0CB
ENSBTAG00000000604	red	#FF0000
ENSBTAG00000000607	turquoise	#40E0D0
ENSBTAG00000000608	yellow	#FFFF00
ENSBTAG00000000613	brown	#A52A2A
ENSBTAG00000000617	cyan	#00FFFF
ENSBTAG00000000621	turquoise	#40E0D0
ENSBTAG00000000630	darkturquoise	#00CED1
ENSBTAG00000000632	blue	#0000FF
ENSBTAG00000000641	tan	#D2B48C
ENSBTAG00000000646	green	#00FF00
ENSBTAG00000000647	yellow	#FFFF00
ENSBTAG00000000650	turquoise	#40E0D0
ENSBTAG00000000653	yellow	#FFFF00
ENSBTAG00000000656	salmon	#FA8072
ENSBTAG00000000662	magenta	#FF00FF
ENSBTAG00000000667	turquoise	#40E0D0
ENSBTAG00000000668	turquoise	#40E0D0
ENSBTAG00000000670	blue	#0000FF
ENSBTAG00000000672	turquoise	#40E0D0
ENSBTAG00000000675	brown	#A52A2A
ENSBTAG00000000676	blue	#0000FF
ENSBTAG00000000678	midnightblue	#191970
ENSBTAG00000000679	turquoise	#40E0D0
ENSBTAG00000000682	darkgrey	#A9A9A9
ENSBTAG00000000683	magenta	#FF00FF
ENSBTAG00000000684	blue	#0000FF
ENSBTAG00000000686	turquoise	#40E0D0
ENSBTAG00000000687	blue	#0000FF
ENSBTAG00000000695	greenyellow	#ADFF2F
ENSBTAG00000000696	brown	#A52A2A
ENSBTAG00000000699	green	#00FF00
ENSBTAG00000000700	red	#FF0000
ENSBTAG00000000705	turquoise	#40E0D0
ENSBTAG00000000710	turquoise	#40E0D0
ENSBTAG00000000712	greenyellow	#ADFF2F
ENSBTAG00000000713	green	#00FF00
ENSBTAG00000000715	brown	#A52A2A
ENSBTAG00000000721	turquoise	#40E0D0
ENSBTAG00000000725	green	#00FF00
ENSBTAG00000000727	magenta	#FF00FF
ENSBTAG00000000735	turquoise	#40E0D0
ENSBTAG00000000736	turquoise	#40E0D0
ENSBTAG00000000738	turquoise	#40E0D0
ENSBTAG00000000746	pink	#FFC0CB
ENSBTAG00000000750	greenyellow	#ADFF2F
ENSBTAG00000000752	blue	#0000FF
ENSBTAG00000000753	turquoise	#40E0D0
ENSBTAG00000000754	royalblue	#4169E1
ENSBTAG00000000758	yellow	#FFFF00
ENSBTAG00000000765	lightcyan	#E0FFFF
ENSBTAG00000000767	magenta	#FF00FF
ENSBTAG00000000770	green	#00FF00
ENSBTAG00000000771	midnightblue	#191970
ENSBTAG00000000773	brown	#A52A2A
ENSBTAG00000000778	pink	#FFC0CB
ENSBTAG00000000784	brown	#A52A2A
ENSBTAG00000000786	turquoise	#40E0D0
ENSBTAG00000000789	turquoise	#40E0D0
ENSBTAG00000000793	red	#FF0000
ENSBTAG00000000795	blue	#0000FF
ENSBTAG00000000797	brown	#A52A2A
ENSBTAG00000000806	yellow	#FFFF00
ENSBTAG00000000808	darkturquoise	#00CED1
ENSBTAG00000000810	turquoise	#40E0D0
ENSBTAG00000000812	brown	#A52A2A
ENSBTAG00000000813	blue	#0000FF
ENSBTAG00000000817	blue	#0000FF
ENSBTAG00000000819	green	#00FF00
ENSBTAG00000000827	tan	#D2B48C
ENSBTAG00000000829	turquoise	#40E0D0
ENSBTAG00000000830	turquoise	#40E0D0
ENSBTAG00000000831	turquoise	#40E0D0
ENSBTAG00000000838	grey60	#999999
ENSBTAG00000000842	turquoise	#40E0D0
ENSBTAG00000000848	brown	#A52A2A
ENSBTAG00000000851	blue	#0000FF
ENSBTAG00000000855	turquoise	#40E0D0
ENSBTAG00000000859	black	#000000
ENSBTAG00000000868	blue	#0000FF
ENSBTAG00000000869	blue	#0000FF
ENSBTAG00000000871	black	#000000
ENSBTAG00000000873	blue	#0000FF
ENSBTAG00000000874	darkgreen	#006400
ENSBTAG00000000877	turquoise	#40E0D0
ENSBTAG00000000878	purple	#A020F0
ENSBTAG00000000880	salmon	#FA8072
ENSBTAG00000000886	red	#FF0000
ENSBTAG00000000892	blue	#0000FF
ENSBTAG00000000894	blue	#0000FF
ENSBTAG00000000897	magenta	#FF00FF
ENSBTAG00000000900	darkturquoise	#00CED1
ENSBTAG00000000902	tan	#D2B48C
ENSBTAG00000000911	darkturquoise	#00CED1
ENSBTAG00000000918	green	#00FF00
ENSBTAG00000000919	lightyellow	#FFFFE0
ENSBTAG00000000928	turquoise	#40E0D0
ENSBTAG00000000940	pink	#FFC0CB
ENSBTAG00000000941	brown	#A52A2A
ENSBTAG00000000943	turquoise	#40E0D0
ENSBTAG00000000944	turquoise	#40E0D0
ENSBTAG00000000946	blue	#0000FF
ENSBTAG00000000948	darkgreen	#006400
ENSBTAG00000000949	green	#00FF00
ENSBTAG00000000950	turquoise	#40E0D0
ENSBTAG00000000955	blue	#0000FF
ENSBTAG00000000957	brown	#A52A2A
ENSBTAG00000000962	green	#00FF00
ENSBTAG00000000964	turquoise	#40E0D0
ENSBTAG00000000974	tan	#D2B48C
ENSBTAG00000000978	magenta	#FF00FF
ENSBTAG00000000979	brown	#A52A2A
ENSBTAG00000000983	red	#FF0000
ENSBTAG00000000985	darkgreen	#006400
ENSBTAG00000000988	black	#000000
ENSBTAG00000000990	turquoise	#40E0D0
ENSBTAG00000000991	turquoise	#40E0D0
ENSBTAG00000000993	greenyellow	#ADFF2F
ENSBTAG00000000995	brown	#A52A2A
ENSBTAG00000000997	cyan	#00FFFF
ENSBTAG00000000998	brown	#A52A2A
ENSBTAG00000001002	brown	#A52A2A
ENSBTAG00000001005	turquoise	#40E0D0
ENSBTAG00000001009	pink	#FFC0CB
ENSBTAG00000001013	yellow	#FFFF00
ENSBTAG00000001015	brown	#A52A2A
ENSBTAG00000001016	magenta	#FF00FF
ENSBTAG00000001017	magenta	#FF00FF
ENSBTAG00000001023	blue	#0000FF
ENSBTAG00000001024	darkorange	#FF8C00
ENSBTAG00000001026	lightyellow	#FFFFE0
ENSBTAG00000001029	brown	#A52A2A
ENSBTAG00000001030	black	#000000
ENSBTAG00000001034	blue	#0000FF
ENSBTAG00000001035	midnightblue	#191970
ENSBTAG00000001041	lightcyan	#E0FFFF
ENSBTAG00000001042	brown	#A52A2A
ENSBTAG00000001044	turquoise	#40E0D0
ENSBTAG00000001055	brown	#A52A2A
ENSBTAG00000001057	turquoise	#40E0D0
ENSBTAG00000001061	blue	#0000FF
ENSBTAG00000001066	brown	#A52A2A
ENSBTAG00000001069	grey60	#999999
ENSBTAG00000001071	turquoise	#40E0D0
ENSBTAG00000001083	yellow	#FFFF00
ENSBTAG00000001085	blue	#0000FF
ENSBTAG00000001086	turquoise	#40E0D0
ENSBTAG00000001090	blue	#0000FF
ENSBTAG00000001093	blue	#0000FF
ENSBTAG00000001098	yellow	#FFFF00
ENSBTAG00000001105	turquoise	#40E0D0
ENSBTAG00000001107	brown	#A52A2A
ENSBTAG00000001108	darkturquoise	#00CED1
ENSBTAG00000001109	green	#00FF00
ENSBTAG00000001110	blue	#0000FF
ENSBTAG00000001113	green	#00FF00
ENSBTAG00000001114	royalblue	#4169E1
ENSBTAG00000001123	black	#000000
ENSBTAG00000001124	blue	#0000FF
ENSBTAG00000001126	black	#000000
ENSBTAG00000001128	red	#FF0000
ENSBTAG00000001132	black	#000000
ENSBTAG00000001133	blue	#0000FF
ENSBTAG00000001134	turquoise	#40E0D0
ENSBTAG00000001136	turquoise	#40E0D0
ENSBTAG00000001137	pink	#FFC0CB
ENSBTAG00000001140	brown	#A52A2A
ENSBTAG00000001141	magenta	#FF00FF
ENSBTAG00000001142	greenyellow	#ADFF2F
ENSBTAG00000001143	brown	#A52A2A
ENSBTAG00000001144	green	#00FF00
ENSBTAG00000001146	black	#000000
ENSBTAG00000001156	brown	#A52A2A
ENSBTAG00000001160	turquoise	#40E0D0
ENSBTAG00000001161	purple	#A020F0
ENSBTAG00000001164	green	#00FF00
ENSBTAG00000001168	purple	#A020F0
ENSBTAG00000001171	yellow	#FFFF00
ENSBTAG00000001178	darkgreen	#006400
ENSBTAG00000001179	turquoise	#40E0D0
ENSBTAG00000001181	blue	#0000FF
ENSBTAG00000001182	greenyellow	#ADFF2F
ENSBTAG00000001185	darkgreen	#006400
ENSBTAG00000001189	salmon	#FA8072
ENSBTAG00000001192	magenta	#FF00FF
ENSBTAG00000001193	turquoise	#40E0D0
ENSBTAG00000001197	turquoise	#40E0D0
ENSBTAG00000001198	salmon	#FA8072
ENSBTAG00000001199	magenta	#FF00FF
ENSBTAG00000001223	blue	#0000FF
ENSBTAG00000001224	black	#000000
ENSBTAG00000001225	black	#000000
ENSBTAG00000001233	brown	#A52A2A
ENSBTAG00000001235	green	#00FF00
ENSBTAG00000001246	brown	#A52A2A
ENSBTAG00000001250	lightcyan	#E0FFFF
ENSBTAG00000001252	black	#000000
ENSBTAG00000001254	brown	#A52A2A
ENSBTAG00000001258	purple	#A020F0
ENSBTAG00000001269	black	#000000
ENSBTAG00000001273	turquoise	#40E0D0
ENSBTAG00000001279	red	#FF0000
ENSBTAG00000001280	blue	#0000FF
ENSBTAG00000001282	green	#00FF00
ENSBTAG00000001283	magenta	#FF00FF
ENSBTAG00000001287	turquoise	#40E0D0
ENSBTAG00000001290	magenta	#FF00FF
ENSBTAG00000001291	cyan	#00FFFF
ENSBTAG00000001293	blue	#0000FF
ENSBTAG00000001295	green	#00FF00
ENSBTAG00000001296	midnightblue	#191970
ENSBTAG00000001298	black	#000000
ENSBTAG00000001302	blue	#0000FF
ENSBTAG00000001303	red	#FF0000
ENSBTAG00000001306	turquoise	#40E0D0
ENSBTAG00000001308	blue	#0000FF
ENSBTAG00000001311	turquoise	#40E0D0
ENSBTAG00000001320	yellow	#FFFF00
ENSBTAG00000001323	magenta	#FF00FF
ENSBTAG00000001324	red	#FF0000
ENSBTAG00000001328	brown	#A52A2A
ENSBTAG00000001348	turquoise	#40E0D0
ENSBTAG00000001349	turquoise	#40E0D0
ENSBTAG00000001356	yellow	#FFFF00
ENSBTAG00000001364	blue	#0000FF
ENSBTAG00000001376	red	#FF0000
ENSBTAG00000001387	turquoise	#40E0D0
ENSBTAG00000001390	brown	#A52A2A
ENSBTAG00000001391	green	#00FF00
ENSBTAG00000001393	magenta	#FF00FF
ENSBTAG00000001395	greenyellow	#ADFF2F
ENSBTAG00000001398	skyblue	#87CEEB
ENSBTAG00000001400	turquoise	#40E0D0
ENSBTAG00000001405	blue	#0000FF
ENSBTAG00000001407	blue	#0000FF
ENSBTAG00000001420	brown	#A52A2A
ENSBTAG00000001424	brown	#A52A2A
ENSBTAG00000001425	royalblue	#4169E1
ENSBTAG00000001435	black	#000000
ENSBTAG00000001439	blue	#0000FF
ENSBTAG00000001440	brown	#A52A2A
ENSBTAG00000001442	orange	#FFA500
ENSBTAG00000001446	darkorange	#FF8C00
ENSBTAG00000001449	brown	#A52A2A
ENSBTAG00000001450	turquoise	#40E0D0
ENSBTAG00000001457	turquoise	#40E0D0
ENSBTAG00000001462	lightcyan	#E0FFFF
ENSBTAG00000001463	green	#00FF00
ENSBTAG00000001468	blue	#0000FF
ENSBTAG00000001470	turquoise	#40E0D0
ENSBTAG00000001471	turquoise	#40E0D0
ENSBTAG00000001475	turquoise	#40E0D0
ENSBTAG00000001478	yellow	#FFFF00
ENSBTAG00000001483	blue	#0000FF
ENSBTAG00000001484	turquoise	#40E0D0
ENSBTAG00000001485	purple	#A020F0
ENSBTAG00000001492	purple	#A020F0
ENSBTAG00000001498	blue	#0000FF
ENSBTAG00000001499	darkred	#8B0000
ENSBTAG00000001504	turquoise	#40E0D0
ENSBTAG00000001505	salmon	#FA8072
ENSBTAG00000001506	yellow	#FFFF00
ENSBTAG00000001509	darkorange	#FF8C00
ENSBTAG00000001510	darkgrey	#A9A9A9
ENSBTAG00000001511	turquoise	#40E0D0
ENSBTAG00000001512	turquoise	#40E0D0
ENSBTAG00000001514	blue	#0000FF
ENSBTAG00000001518	brown	#A52A2A
ENSBTAG00000001519	turquoise	#40E0D0
ENSBTAG00000001522	yellow	#FFFF00
ENSBTAG00000001528	darkgrey	#A9A9A9
ENSBTAG00000001529	skyblue	#87CEEB
ENSBTAG00000001533	blue	#0000FF
ENSBTAG00000001539	turquoise	#40E0D0
ENSBTAG00000001543	blue	#0000FF
ENSBTAG00000001545	red	#FF0000
ENSBTAG00000001548	turquoise	#40E0D0
ENSBTAG00000001551	brown	#A52A2A
ENSBTAG00000001552	royalblue	#4169E1
ENSBTAG00000001553	pink	#FFC0CB
ENSBTAG00000001565	turquoise	#40E0D0
ENSBTAG00000001567	turquoise	#40E0D0
ENSBTAG00000001573	purple	#A020F0
ENSBTAG00000001574	black	#000000
ENSBTAG00000001575	midnightblue	#191970
ENSBTAG00000001576	midnightblue	#191970
ENSBTAG00000001578	green	#00FF00
ENSBTAG00000001579	yellow	#FFFF00
ENSBTAG00000001580	turquoise	#40E0D0
ENSBTAG00000001585	darkgreen	#006400
ENSBTAG00000001586	blue	#0000FF
ENSBTAG00000001589	purple	#A020F0
ENSBTAG00000001597	turquoise	#40E0D0
ENSBTAG00000001599	brown	#A52A2A
ENSBTAG00000001600	turquoise	#40E0D0
ENSBTAG00000001601	brown	#A52A2A
ENSBTAG00000001602	salmon	#FA8072
ENSBTAG00000001607	black	#000000
ENSBTAG00000001612	turquoise	#40E0D0
ENSBTAG00000001616	green	#00FF00
ENSBTAG00000001617	magenta	#FF00FF
ENSBTAG00000001618	blue	#0000FF
ENSBTAG00000001619	green	#00FF00
ENSBTAG00000001631	blue	#0000FF
ENSBTAG00000001632	midnightblue	#191970
ENSBTAG00000001634	turquoise	#40E0D0
ENSBTAG00000001644	yellow	#FFFF00
ENSBTAG00000001645	turquoise	#40E0D0
ENSBTAG00000001654	yellow	#FFFF00
ENSBTAG00000001657	purple	#A020F0
ENSBTAG00000001659	turquoise	#40E0D0
ENSBTAG00000001660	brown	#A52A2A
ENSBTAG00000001662	brown	#A52A2A
ENSBTAG00000001665	turquoise	#40E0D0
ENSBTAG00000001666	turquoise	#40E0D0
ENSBTAG00000001671	salmon	#FA8072
ENSBTAG00000001673	greenyellow	#ADFF2F
ENSBTAG00000001692	turquoise	#40E0D0
ENSBTAG00000001693	turquoise	#40E0D0
ENSBTAG00000001697	darkgrey	#A9A9A9
ENSBTAG00000001698	turquoise	#40E0D0
ENSBTAG00000001700	midnightblue	#191970
ENSBTAG00000001703	red	#FF0000
ENSBTAG00000001707	black	#000000
ENSBTAG00000001710	turquoise	#40E0D0
ENSBTAG00000001712	midnightblue	#191970
ENSBTAG00000001714	turquoise	#40E0D0
ENSBTAG00000001724	turquoise	#40E0D0
ENSBTAG00000001729	yellow	#FFFF00
ENSBTAG00000001731	brown	#A52A2A
ENSBTAG00000001735	blue	#0000FF
ENSBTAG00000001736	black	#000000
ENSBTAG00000001737	purple	#A020F0
ENSBTAG00000001741	yellow	#FFFF00
ENSBTAG00000001747	magenta	#FF00FF
ENSBTAG00000001749	pink	#FFC0CB
ENSBTAG00000001752	brown	#A52A2A
ENSBTAG00000001754	blue	#0000FF
ENSBTAG00000001767	turquoise	#40E0D0
ENSBTAG00000001768	turquoise	#40E0D0
ENSBTAG00000001771	royalblue	#4169E1
ENSBTAG00000001774	blue	#0000FF
ENSBTAG00000001775	brown	#A52A2A
ENSBTAG00000001776	turquoise	#40E0D0
ENSBTAG00000001778	turquoise	#40E0D0
ENSBTAG00000001786	blue	#0000FF
ENSBTAG00000001790	pink	#FFC0CB
ENSBTAG00000001793	blue	#0000FF
ENSBTAG00000001796	turquoise	#40E0D0
ENSBTAG00000001804	red	#FF0000
ENSBTAG00000001805	brown	#A52A2A
ENSBTAG00000001807	brown	#A52A2A
ENSBTAG00000001808	turquoise	#40E0D0
ENSBTAG00000001810	greenyellow	#ADFF2F
ENSBTAG00000001816	turquoise	#40E0D0
ENSBTAG00000001817	yellow	#FFFF00
ENSBTAG00000001821	greenyellow	#ADFF2F
ENSBTAG00000001822	turquoise	#40E0D0
ENSBTAG00000001827	brown	#A52A2A
ENSBTAG00000001840	turquoise	#40E0D0
ENSBTAG00000001854	turquoise	#40E0D0
ENSBTAG00000001855	yellow	#FFFF00
ENSBTAG00000001856	turquoise	#40E0D0
ENSBTAG00000001864	red	#FF0000
ENSBTAG00000001867	turquoise	#40E0D0
ENSBTAG00000001872	turquoise	#40E0D0
ENSBTAG00000001873	lightgreen	#90EE90
ENSBTAG00000001881	yellow	#FFFF00
ENSBTAG00000001886	blue	#0000FF
ENSBTAG00000001887	pink	#FFC0CB
ENSBTAG00000001888	darkred	#8B0000
ENSBTAG00000001890	yellow	#FFFF00
ENSBTAG00000001892	turquoise	#40E0D0
ENSBTAG00000001894	green	#00FF00
ENSBTAG00000001895	green	#00FF00
ENSBTAG00000001898	turquoise	#40E0D0
ENSBTAG00000001902	black	#000000
ENSBTAG00000001904	yellow	#FFFF00
ENSBTAG00000001906	yellow	#FFFF00
ENSBTAG00000001908	turquoise	#40E0D0
ENSBTAG00000001919	magenta	#FF00FF
ENSBTAG00000001920	blue	#0000FF
ENSBTAG00000001922	turquoise	#40E0D0
ENSBTAG00000001926	yellow	#FFFF00
ENSBTAG00000001928	pink	#FFC0CB
ENSBTAG00000001933	turquoise	#40E0D0
ENSBTAG00000001938	turquoise	#40E0D0
ENSBTAG00000001939	white	#FFFFFF
ENSBTAG00000001941	brown	#A52A2A
ENSBTAG00000001942	greenyellow	#ADFF2F
ENSBTAG00000001945	midnightblue	#191970
ENSBTAG00000001948	brown	#A52A2A
ENSBTAG00000001950	turquoise	#40E0D0
ENSBTAG00000001956	turquoise	#40E0D0
ENSBTAG00000001957	blue	#0000FF
ENSBTAG00000001962	turquoise	#40E0D0
ENSBTAG00000001968	greenyellow	#ADFF2F
ENSBTAG00000001977	turquoise	#40E0D0
ENSBTAG00000001983	turquoise	#40E0D0
ENSBTAG00000001987	yellow	#FFFF00
ENSBTAG00000001988	salmon	#FA8072
ENSBTAG00000001992	brown	#A52A2A
ENSBTAG00000002002	tan	#D2B48C
ENSBTAG00000002010	salmon	#FA8072
ENSBTAG00000002014	purple	#A020F0
ENSBTAG00000002015	blue	#0000FF
ENSBTAG00000002018	brown	#A52A2A
ENSBTAG00000002020	midnightblue	#191970
ENSBTAG00000002021	turquoise	#40E0D0
ENSBTAG00000002023	red	#FF0000
ENSBTAG00000002028	black	#000000
ENSBTAG00000002030	red	#FF0000
ENSBTAG00000002033	pink	#FFC0CB
ENSBTAG00000002034	turquoise	#40E0D0
ENSBTAG00000002037	black	#000000
ENSBTAG00000002039	turquoise	#40E0D0
ENSBTAG00000002041	turquoise	#40E0D0
ENSBTAG00000002048	green	#00FF00
ENSBTAG00000002050	blue	#0000FF
ENSBTAG00000002051	turquoise	#40E0D0
ENSBTAG00000002055	turquoise	#40E0D0
ENSBTAG00000002059	magenta	#FF00FF
ENSBTAG00000002070	orange	#FFA500
ENSBTAG00000002072	turquoise	#40E0D0
ENSBTAG00000002073	grey60	#999999
ENSBTAG00000002078	turquoise	#40E0D0
ENSBTAG00000002086	purple	#A020F0
ENSBTAG00000002089	blue	#0000FF
ENSBTAG00000002090	blue	#0000FF
ENSBTAG00000002094	turquoise	#40E0D0
ENSBTAG00000002096	brown	#A52A2A
ENSBTAG00000002103	yellow	#FFFF00
ENSBTAG00000002108	green	#00FF00
ENSBTAG00000002112	blue	#0000FF
ENSBTAG00000002113	turquoise	#40E0D0
ENSBTAG00000002126	turquoise	#40E0D0
ENSBTAG00000002127	darkgreen	#006400
ENSBTAG00000002128	turquoise	#40E0D0
ENSBTAG00000002130	blue	#0000FF
ENSBTAG00000002135	brown	#A52A2A
ENSBTAG00000002136	turquoise	#40E0D0
ENSBTAG00000002137	yellow	#FFFF00
ENSBTAG00000002144	blue	#0000FF
ENSBTAG00000002147	magenta	#FF00FF
ENSBTAG00000002148	turquoise	#40E0D0
ENSBTAG00000002150	lightgreen	#90EE90
